"AbsoluteIDQ® p180 Kit
lipid annotation","Potential isobars
within ± 0.5 Da","Potential isomers","LIPID MAPS data base entries"
"PC aa C24:0","PC 24:0","PC 12:0_12:0","LMGP01010429"
,,"PC 6:0_18:0","LMGP01011228"
"PC aa C26:0","PC 26:0","PC 10:0_16:0","LMGP01010388"
,,"PC 12:0_14:0","LMGP01010432; LMGP01010475"
,,"PC 13:0_13:0","LMGP01010456"
,,"PC 17:0_9:0","LMGP01010725"
,,"PC 8:0_18:0","LMGP01011243"
,"[13C] SM 30:0",,
"PC aa C28:1","PC 28:1","PC 10:0_18:1","LMGP01010392"
,,"PC 12:0_16:1","LMGP01011319; LMGP01011473"
,,"PC 13:0_15:1","LMGP01011341; LMGP01011432"
,,"PC 14:0_14:1","LMGP01011364; LMGP01011381"
,"PC O-29:1","PC O-16:1_13:0","LMGP01030020"
,"[13C] SM 32:1",,
"PC aa C30:0","PC 30:0","PC 10:0_20:0","LMGP01010395; LMGP01010995"
,,"PC 11:0_19:0","LMGP01010416; LMGP01010969"
,,"PC 12:0_18:0","LMGP01010438; LMGP01010736"
,,"PC 13:0_17:0","LMGP01010461; LMGP01010702"
,,"PC 14:0_16:0","LMGP01010481; LMGP01010560"
,,"PC 15:0_15:0","LMGP01010530"
,,"PC 9:0_21:0","LMGP01011265"
,"PC O-31:0","PC O-16:0_15:0","LMGP01020180"
,,"PC O-18:0_13:0","LMGP01020194"
,"[13C] SM 34:0",,
"PC aa C30:2","PC 30:2","PC 12:0_18:2","LMGP01011323; LMGP01011614"
,,"PC 13:0_17:2","LMGP01011345; LMGP01011552"
,,"PC 14:1_16:1","LMGP01011385; LMGP01011476"
,,"PC 15:1_15:1","LMGP01011436"
,"PC O-31:2","PC O-16:1_15:1","LMGP01030024"
"PC aa C32:0","PC 32:0","PC 10:0_22:0","LMGP01010397; LMGP01011080"
,,"PC 11:0_21:0","LMGP01010418; LMGP01011062"
,,"PC 12:0_20:0","LMGP01010444; LMGP01010997"
,,"PC 13:0_19:0","LMGP01010463; LMGP01010970"
,,"PC 14:0_18:0","LMGP01010488; LMGP01010739"
,,"PC 15:0_17:0","LMGP01010537; LMGP01010704"
