Name	Biocrates ID	ChEBI ID	KEGG ID	PUBCHEM ID	Compartment	MODEL ID
10-Formyltetrahydrofolate-[Glu](5)					c	10fthf5glu[c]
10-Formyltetrahydrofolate-[Glu](5)					l	10fthf5glu[l]
10-Formyltetrahydrofolate-[Glu](5)					m	10fthf5glu[m]
10-Formyltetrahydrofolate-[Glu](6)					c	10fthf6glu[c]
10-Formyltetrahydrofolate-[Glu](6)					l	10fthf6glu[l]
10-Formyltetrahydrofolate-[Glu](6)					m	10fthf6glu[m]
10-Formyltetrahydrofolate-[Glu](7)					c	10fthf7glu[c]
10-Formyltetrahydrofolate-[Glu](7)					l	10fthf7glu[l]
10-Formyltetrahydrofolate-[Glu](7)					m	10fthf7glu[m]
10-Formyltetrahydrofolate		CHEBI:15637	C00234	122347	c	10fthf[c]
10-Formyltetrahydrofolate		CHEBI:15637	C00234	122347	l	10fthf[l]
10-Formyltetrahydrofolate		CHEBI:15637	C00234	122347	m	10fthf[m]
11-Deoxycortisol		CHEBI:28324	C05488	53477676	c	11docrtsl[c]
11-Deoxycortisol		CHEBI:28324	C05488	53477676	m	11docrtsl[m]
11-Deoxycortisol		CHEBI:28324	C05488	53477676	r	11docrtsl[r]
11-Deoxycorticosterone		CHEBI:16973	C03205	6166	c	11docrtstrn[c]
11-Deoxycorticosterone		CHEBI:16973	C03205	6166	m	11docrtstrn[m]
11-Deoxycorticosterone		CHEBI:16973	C03205	6166	r	11docrtstrn[r]
Trimethylenediaminium		15725	C00986	428	c	13dampp[c]
Water		15377	C00001	962	c	h2o[c]
Oxygen		15379	C00007	977	c	o2[c]
Beta-Aminopropion Aldehyde		CHEBI:58374	C05665	75	c	bamppald[c]
Hydrogen Peroxide		16240	C00027	784	c	h2o2[c]
Ammonium		16134	C00014	222	c	nh4[c]
Water		15377	C00001	962	m	h2o[m]
Oxygen		15379	C00007	977	m	o2[m]
24R,25-Dihyoxyvitamin D2					m	2425dhvitd2[m]
Proton		CHEBI:24636	C00080	1038	m	h[m]
Nicotinamide Adenine Dinucleotide Phosphate - Reduced		16474	C00005	22833512	m	nadph[m]
1-Alpha,24R,25-Trihydroxyvitamin D2				9547253	m	1a2425thvitd2[m]
Nicotinamide Adenine Dinucleotide Phosphate		18009	C00006	5886	m	nadp[m]
(24R)-24,25-Dihydroxycalciol		CHEBI:28818	C07712		m	2425dhvitd3[m]
Calcitetrol			C18231		m	1a2425thvitd3[m]
1-Alpha,25-Dihydroxyvitamin D2				9547243	m	1a25dhvitd2[m]
Calcitriol		17823	C01673	5280453	m	1a25dhvitd3[m]
Proton		CHEBI:24636	C00080	1038	c	h[c]
1-Methylnicotinamide		16797	C02918	457	c	1mncam[c]
1-Methylnicotinamide		16797	C02918	457	e	1mncam[e]
Adenosine Triphosphate		15422	C00002	5957	c	atp[c]
Adenosine Diphosphate		16761	C00008	6022	c	adp[c]
Orthophosphate		CHEBI:18367	C00009	1004	c	pi[c]
Proton		CHEBI:24636	C00080	1038	x	h[x]
1-Piperideine-2-Carboxylate		30912	C04092	1194	x	1pipdn2c[x]
Nicotinamide Adenine Dinucleotide - Reduced		16908	C00004	928	x	nadh[x]
L-Pipecolic Acid		30913	C00408	439227	x	Lpipecol[x]
Nicotinamide Adenine Dinucleotide		15846	C00003	5893	x	nad[x]
24R,25-Dihyoxyvitamin D2					c	2425dhvitd2[c]
24R,25-Dihyoxyvitamin D2					e	2425dhvitd2[e]
(24R)-24,25-Dihydroxycalciol		CHEBI:28818	C07712		c	2425dhvitd3[c]
(24R)-24,25-Dihydroxycalciol		CHEBI:28818	C07712		e	2425dhvitd3[e]
